time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.212,-237545.62,-0.030765533,598.0039,0.002136305,0.9889504,8.080436,-0.0059416,-4.4605412,-237545.6,0,10
0.213,-239024.31,-0.030765533,598.0039,0.0022889078,0.9889504,8.080436,-0.0059416,-4.69913,-239024.28,0,10
0.214,-238691.19,-0.030765533,598.0039,0.0028992593,0.9889504,8.080436,-0.0059416,-4.540515,-238691.16,0,10
0.215,-239417.0,-0.030765533,598.0039,0.0018311143,0.9889504,8.080436,-0.0059416,-4.6594763,-239416.97,0,10
0.216,-239220.03,-0.030765533,598.0039,0.0028992593,0.9889504,8.080436,-0.0059416,-4.73945,-239220.0,0,10
0.217,-240240.69,-0.030765533,598.0039,0.0028992593,0.9889504,8.080436,-0.0059416,-4.938385,-240240.66,0,10
0.218,-239884.72,-0.030765533,598.0039,0.002136305,0.9889504,8.080436,-0.0059416,-4.540182,-239884.69,0,10
0.219,-241978.16,-0.030765533,598.0039,0.0030518472,0.9889504,8.080436,-0.0059416,-3.9030569,-241978.12,0,10
0.22,-240169.83,-0.030765533,598.0039,0.0030518621,0.9889504,8.080436,-0.0059416,-4.898731,-240169.8,0,10
0.221,-242142.75,-0.030765533,598.0039,0.00320445,0.9889504,8.080436,-0.0059416,-4.301593,-242142.72,0,10
0.222,-242674.38,-0.030765533,598.0039,0.003357038,0.9889504,8.080436,-0.0059416,-4.898065,-242674.34,0,11
0.223,-242503.64,-0.030765533,598.0039,0.0025940835,1.001402,7.757996,-0.0111732315,-4.3002605,-242503.61,0,11
0.224,-242945.81,-0.030765533,598.0039,0.0027466714,1.001402,7.757996,-0.0111732315,-4.69913,-242945.78,0,11
0.225,-243773.14,-0.030765533,598.0039,0.0025940835,1.001402,7.757996,-0.0111732315,-4.6198225,-243773.11,0,11
0.226,-245347.72,-0.030765533,598.0039,0.0027466714,1.001402,7.757996,-0.0111732315,-4.340914,-245347.69,0,11
0.227,-244257.67,-0.030765533,598.0039,0.0030518621,1.001402,7.757996,-0.0111732315,-4.4608746,-244257.64,0,11
0.228,-244245.97,-0.030765533,598.0039,0.0028992593,1.001402,7.757996,-0.0111732315,-4.5005283,-244245.94,0,11
0.229,-247438.58,-0.030765533,598.0039,0.0027466714,1.001402,7.757996,-0.0111732315,-3.6651344,-247438.55,0,11
0.23,-245304.08,-0.030765533,598.0039,0.0035096407,1.001402,7.757996,-0.0111732315,-4.8584113,-245304.05,0,11
0.231,-247440.67,-0.030765533,598.0039,0.0028992742,1.001402,7.757996,-0.0111732315,-4.021685,-247440.64,0,11
0.232,-247851.69,-0.030765533,598.0039,0.00320445,1.001402,7.757996,-0.0111732315,-4.3412466,-247851.66,0,11
0.233,-248415.48,-0.030765533,598.0039,0.0018311143,1.001402,7.757996,-0.0111732315,-4.22062,-248415.45,0,11
0.234,-247823.84,-0.030765533,598.0039,0.0024414957,1.001402,7.757996,-0.0111732315,-4.618823,-247823.81,0,11
